SPECIES_CD,SCIENTIFIC_NAME,COMMON_NAME,search_name
ABL HIAN,Ablennes hians,flat needlefish,ABL HIAN Ablennes hians flat needlefish
ABU SAXA,Abudefduf saxatilis,sergeant major,ABU SAXA Abudefduf saxatilis sergeant major
ABU TAUR,Abudefduf taurus,night sergeant,ABU TAUR Abudefduf taurus night sergeant
ACA ASPE,Acanthemblemaria aspera,roughhead blenny,ACA ASPE Acanthemblemaria aspera roughhead blenny
ACA BAHI,Acanthurus bahianus,ocean surgeon,ACA BAHI Acanthurus bahianus ocean surgeon
ACA CHAP,Acanthemblemaria chaplini,papillose blenny,ACA CHAP Acanthemblemaria chaplini papillose blenny
ACA CHIR,Acanthurus chirurgus,doctorfish,ACA CHIR Acanthurus chirurgus doctorfish
ACA COER,Acanthurus coeruleus,blue tang,ACA COER Acanthurus coeruleus blue tang
ACA MARI,Acanthemblemaria maria,secretary blenny,ACA MARI Acanthemblemaria maria secretary blenny
ACA POLY,Acanthostracion polygonia,honeycomb cowfish,ACA POLY Acanthostracion polygonia honeycomb cowfish
ACA QUAD,Acanthostracion quadricornis,scrawled cowfish,ACA QUAD Acanthostracion quadricornis scrawled cowfish
ACA SOLA,Acanthocybium solandri,wahoo,ACA SOLA Acanthocybium solandri wahoo
ACA SPE.,Acanthurus sp.,surgeonfish species,ACA SPE. Acanthurus sp. surgeonfish species
ACA SPIN,Acanthemblemaria spinosa,spinyhead blenny,ACA SPIN Acanthemblemaria spinosa spinyhead blenny
ACE DEND,Acentronura dendritica,pipehorse,ACE DEND Acentronura dendritica pipehorse
ACN SPE.,Acanthemblemaria species,tube blenny Acanthemblemaria,ACN SPE. Acanthemblemaria species tube blenny Acanthemblemaria
AET NARI,Aetobatus narinari,spotted eagle ray,AET NARI Aetobatus narinari spotted eagle ray
AHL EGMO,Ahlia egmontis,key worm eel,AHL EGMO Ahlia egmontis key worm eel
ALB VULP,Albula vulpes,bonefish,ALB VULP Albula vulpes bonefish
ALE CILI,Alectis ciliaris,African pompano,ALE CILI Alectis ciliaris African pompano
ALP AFER,Alphestes afer,mutton hamlet,ALP AFER Alphestes afer mutton hamlet
ALU MONO,Aluterus monoceros,unicorn filefish,ALU MONO Aluterus monoceros unicorn filefish
ALU SCHO,Aluterus schoepfii,orange filefish,ALU SCHO Aluterus schoepfii orange filefish
ALU SCRI,Aluterus scriptus,scrawled filefish,ALU SCRI Aluterus scriptus scrawled filefish
ALU SPE.,Aluterus sp.,filefish species,ALU SPE. Aluterus sp. filefish species
AMB PINO,Amblycirrhitus pinos,redspotted hawkfish,AMB PINO Amblycirrhitus pinos redspotted hawkfish
ANC LYOL,Anchoa lyolepis,dusky anchovy,ANC LYOL Anchoa lyolepis dusky anchovy
ANI SURI,Anisotremus surinamensis,black margate,ANI SURI Anisotremus surinamensis black margate
ANI VIRG,Anisotremus virginicus,porkfish,ANI VIRG Anisotremus virginicus porkfish
ANT OCEL,Antennarius ocellatus,ocellated frogfish,ANT OCEL Antennarius ocellatus ocellated frogfish
APO AURO,Apogon aurolineatus,bridle cardinalfish,APO AURO Apogon aurolineatus bridle cardinalfish
APO BINO,Apogon binotatus,barred cardinalfish,APO BINO Apogon binotatus barred cardinalfish
APO LACH,Apogon lachneri,whitestar cardinalfish,APO LACH Apogon lachneri whitestar cardinalfish
APO MACU,Apogon maculatus,flamefish,APO MACU Apogon maculatus flamefish
APO PHEN,Apogon phenax,mimic cardinalfish,APO PHEN Apogon phenax mimic cardinalfish
APO PSEU,Apogon pseudomaculatus,twospot cardinalfish,APO PSEU Apogon pseudomaculatus twospot cardinalfish
APO QUAD,Apogon quadrisquamatus,sawcheek cardinalfish,APO QUAD Apogon quadrisquamatus sawcheek cardinalfish
APO SPE.,Apogon species,cardinalfish species,APO SPE. Apogon species cardinalfish species
APO TOWN,Apogon townsendi,belted cardinalfish,APO TOWN Apogon townsendi belted cardinalfish
ARC PROB,Archosargus probatocephalus,sheepshead,ARC PROB Archosargus probatocephalus sheepshead
ARC RHOM,Archosargus rhomboidalis,sea bream,ARC RHOM Archosargus rhomboidalis sea bream
ARI BALE,Ariosoma balearicum,bandtooth conger,ARI BALE Ariosoma balearicum bandtooth conger
AST GUTT,Astroscopus guttatus,northern stargazer,AST GUTT Astroscopus guttatus northern stargazer
AST PUNC,Astrapogon puncticulatus,blackfin cardinalfish,AST PUNC Astrapogon puncticulatus blackfin cardinalfish
AST SPE.,Astrapogon sp.,cardinalfish species,AST SPE. Astrapogon sp. cardinalfish species
AST STEL,Astrapogon stellatus,conchfish,AST STEL Astrapogon stellatus conchfish
AST Y-GR,Astroscopus y-graecum,southern stargazer,AST Y-GR Astroscopus y-graecum southern stargazer
ATH SPE.,Atherinomorus species,silverside species,ATH SPE. Atherinomorus species silverside species
ATH STIP,Atherinomorus stipes,hardhead silverside,ATH STIP Atherinomorus stipes hardhead silverside
AUL MACU,Aulostomus maculatus,Atlantic trumpetfish,AUL MACU Aulostomus maculatus Atlantic trumpetfish
BAL CAPR,Balistes capriscus,gray triggerfish,BAL CAPR Balistes capriscus gray triggerfish
BAL SPE.,Balistes sp.,triggerfish species,BAL SPE. Balistes sp. triggerfish species
BAL VETU,Balistes vetula,queen triggerfish,BAL VETU Balistes vetula queen triggerfish
BAT SOPO,Bathygobious soporator,frillfin goby,BAT SOPO Bathygobious soporator frillfin goby
BEL SPE.,needlefish species,needlefish species,BEL SPE. needlefish species needlefish species
BLE SPE.,blenny species,blenny species,BLE SPE. blenny species blenny species
